"i","namei","wi","j","namej","wj","fij"
1,"Paris",5599722,1,"Paris",5599722,1698
1,"Paris",5599722,48,"Troyes",75562,4
1,"Paris",5599722,129,"Sens",24625,287
1,"Paris",5599722,529,"Vouziers",2120,4
1,"Paris",5599722,25,"Dijon",164440,5
1,"Paris",5599722,752,"Saint-Julien-du-Sault",1048,8
1,"Paris",5599722,96,"Auxerre",38167,15
9,"Strasbourg (partie francaise)",332143,331,"Jarny",4834,4
9,"Strasbourg (partie francaise)",332143,302,"Cosne-Cours-sur-Loire",4859,6
9,"Strasbourg (partie francaise)",332143,506,"Dieuze",2549,16
9,"Strasbourg (partie francaise)",332143,770,"Biesheim",1022,20
9,"Strasbourg (partie francaise)",332143,41,"Besancon",104571,140
9,"Strasbourg (partie francaise)",332143,523,"Rambervillers",1946,12
9,"Strasbourg (partie francaise)",332143,9,"Strasbourg (partie francaise)",332143,298895
9,"Strasbourg (partie francaise)",332143,284,"Le Thillot",5869,16
9,"Strasbourg (partie francaise)",332143,389,"Gueugnon",3255,4
9,"Strasbourg (partie francaise)",332143,629,"Rouffach",2015,24
9,"Strasbourg (partie francaise)",332143,25,"Dijon",164440,52
9,"Strasbourg (partie francaise)",332143,550,"Bitche",2394,32
9,"Strasbourg (partie francaise)",332143,507,"Vittel",2581,4
9,"Strasbourg (partie francaise)",332143,115,"Longwy (partie francaise)",29599,20
9,"Strasbourg (partie francaise)",332143,762,"Liepvre",1099,80
9,"Strasbourg (partie francaise)",332143,225,"Autun",9348,4
9,"Strasbourg (partie francaise)",332143,419,"Raon-l'Etape",2724,48
9,"Strasbourg (partie francaise)",332143,52,"Montbeliard",62478,45
9,"Strasbourg (partie francaise)",332143,179,"Beaune",15713,4
9,"Strasbourg (partie francaise)",332143,107,"Chalons-en-Champagne",33720,41
9,"Strasbourg (partie francaise)",332143,83,"Nevers",39275,8
9,"Strasbourg (partie francaise)",332143,182,"Bar-le-Duc",13929,13
9,"Strasbourg (partie francaise)",332143,145,"Saint-Die-des-Vosges",19642,324
9,"Strasbourg (partie francaise)",332143,64,"Colmar",55183,1933
